id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,295786,208,747,1711,332,1650.0,1063.125,1.0516555309295654,0.9708085060119629,0,0,1920,1080
1,6152,1121,395,65,96,1170.0,455.625,1.0158414840698242,0.9890056848526001,0,0,1920,1080
2,49167,1399,894,457,183,1590.0,995.625,1.0113571882247925,0.9881501197814941,0,0,1920,1080
3,311679,722,220,753,512,1170.0,556.875,1.0063436031341553,0.9841071367263794,0,0,1920,1080
4,137430,497,0,1415,101,1650.0,84.375,1.006005883216858,0.983157217502594,0,0,1920,1080
5,169415,1479,68,440,519,1710.0,556.875,1.0012980699539185,0.9858312010765076,0,0,1920,1080
6,26313,1418,681,217,215,1590.0,793.125,1.0004146099090576,0.9816112518310547,0,0,1920,1080
7,441407,0,0,724,1076,390.0,489.375,1.0003366470336914,0.954102635383606,0,0,1920,1080
8,304582,47,228,1872,850,990.0,928.125,1.0001524686813354,0.9373200535774231,0,0,1920,1080
9,149383,0,606,566,470,330.0,658.125,0.999992311000824,0.9881750345230103,0,0,1920,1080
10,8408,1087,669,95,90,1110.0,759.375,0.9982826709747314,0.9931254982948303,0,0,1920,1080
11,6164,994,429,64,96,1050.0,455.625,0.9873518347740173,0.983912467956543,0,0,1920,1080
12,30609,0,565,573,83,390.0,590.625,0.9834074974060059,0.9311696290969849,0,0,1920,1080
13,7973,1685,611,183,56,1770.0,658.125,0.9832442998886108,0.9797465205192566,0,0,1920,1080
14,20470,1534,650,385,238,1890.0,725.625,0.9820289611816406,0.9653719067573547,0,0,1920,1080
15,10202,1641,762,110,116,1710.0,793.125,0.9800745844841003,0.9822261333465576,0,0,1920,1080
16,6573,127,959,201,120,150.0,1063.125,0.980067789554596,0.9851852059364319,0,0,1920,1080
17,15253,339,756,274,60,510.0,793.125,0.9791691899299622,0.986242413520813,0,0,1920,1080
18,17773,337,674,373,71,690.0,691.875,0.9713841676712036,0.968651533126831,0,0,1920,1080
19,3064,1461,517,57,67,1470.0,523.125,0.9703962206840515,0.9854180216789246,0,0,1920,1080
20,953,443,994,58,17,450.0,995.625,0.9687555432319641,0.9906054139137268,0,0,1920,1080
21,8131,1858,738,61,145,1890.0,826.875,0.9677167534828186,0.9692307710647583,0,0,1920,1080
22,10148,1465,143,114,151,1530.0,219.375,0.9650570154190063,0.9747735261917114,0,0,1920,1080
23,17498,1534,649,385,89,1890.0,725.625,0.9627501368522644,0.9703533053398132,0,0,1920,1080
24,401,325,296,18,25,330.0,320.625,0.9617801904678345,0.9656862616539001,0,0,1920,1080
25,121803,325,674,387,367,630.0,826.875,0.9616345763206482,0.9736220836639404,0,0,1920,1080
26,11981,1568,574,351,48,1710.0,590.625,0.9609931707382202,0.9772446155548096,0,0,1920,1080
27,8509,323,907,89,128,390.0,1029.375,0.9594314098358154,0.9765633940696716,0,0,1920,1080
28,6909,1290,556,120,114,1350.0,624.375,0.959104061126709,0.9723370671272278,0,0,1920,1080
29,1187,1316,515,40,40,1350.0,523.125,0.954426109790802,0.9832915663719177,0,0,1920,1080
30,4978,654,856,58,106,690.0,894.375,0.9535446763038635,0.973809540271759,0,0,1920,1080
31,51573,279,90,162,396,390.0,151.875,0.9515023231506348,0.9783246517181396,0,0,1920,1080
32,357,1158,702,16,21,1170.0,725.625,0.9489907026290894,0.9833333492279053,0,0,1920,1080
33,18292,402,903,199,120,450.0,928.125,0.9481498003005981,0.9565356969833374,0,0,1920,1080
34,7537,656,370,34,243,690.0,388.125,0.9476709961891174,0.9799344539642334,0,0,1920,1080
35,18514,545,407,108,268,570.0,556.875,0.9464898109436035,0.972513735294342,0,0,1920,1080
36,12639,710,660,149,99,810.0,691.875,0.9435511827468872,0.9656485319137573,0,0,1920,1080
37,775,611,408,21,40,630.0,421.875,0.9435349702835083,0.9884615540504456,0,0,1920,1080
38,2015,1088,669,89,24,1110.0,691.875,0.9429687261581421,0.9837438464164734,0,0,1920,1080
39,3365,370,351,57,72,390.0,388.125,0.9419584274291992,0.9811487197875977,0,0,1920,1080
40,15135,337,825,274,69,450.0,826.875,0.9413108229637146,0.909211277961731,0,0,1920,1080
41,1228,1523,996,19,83,1530.0,1029.375,0.9396430850028992,0.9822580814361572,0,0,1920,1080
42,7100,1439,517,97,110,1470.0,523.125,0.9396073818206787,0.9649074077606201,0,0,1920,1080
43,13951,1580,99,218,126,1590.0,151.875,0.9383008480072021,0.9583070278167725,0,0,1920,1080
44,3682,285,406,75,60,330.0,421.875,0.937865138053894,0.9806711673736572,0,0,1920,1080
45,9045,575,906,89,135,630.0,928.125,0.937659740447998,0.9759746789932251,0,0,1920,1080
46,5331,47,572,115,50,90.0,590.625,0.9348328113555908,0.9689003825187683,0,0,1920,1080
47,3405,1310,645,130,54,1350.0,658.125,0.9333486557006836,0.9758650660514832,0,0,1920,1080
48,1542,708,795,100,18,750.0,793.125,0.9326670169830322,0.990328848361969,0,0,1920,1080
49,3660,1554,829,365,82,1890.0,894.375,0.931877076625824,0.9611051678657532,0,0,1920,1080
50,2370,0,571,46,53,30.0,590.625,0.9302302002906799,0.9849182963371277,0,0,1920,1080
51,4713,621,351,40,260,630.0,388.125,0.9279026389122009,0.9472704529762268,0,0,1920,1080
52,23548,789,121,688,35,1230.0,151.875,0.9276126623153687,0.9628214240074158,0,0,1920,1080
53,1278,672,849,87,21,750.0,860.625,0.9249539375305176,0.9744976758956909,0,0,1920,1080
54,465,453,851,41,11,450.0,860.625,0.9207144379615784,0.9747368693351746,0,0,1920,1080
55,1340,617,617,47,35,630.0,624.375,0.9204280972480774,0.9619883298873901,0,0,1920,1080
56,919,1738,849,69,29,1770.0,860.625,0.9194643497467041,0.975215494632721,0,0,1920,1080
57,4311,709,683,60,74,750.0,691.875,0.9191162586212158,0.9770694971084595,0,0,1920,1080
58,1773,1398,934,70,145,1410.0,1029.375,0.9155370593070984,0.9699499011039734,0,0,1920,1080
59,1660,292,285,52,43,330.0,320.625,0.9131879806518555,0.9619500637054443,0,0,1920,1080
60,1548,1326,537,117,88,1350.0,556.875,0.9119949340820312,0.9602774381637573,0,0,1920,1080
61,2154,554,835,51,47,570.0,860.625,0.9105960130691528,0.9645293354988098,0,0,1920,1080
62,3001,367,417,60,66,390.0,455.625,0.9085178971290588,0.9614000916481018,0,0,1920,1080
63,915,665,612,48,21,690.0,624.375,0.9074186682701111,0.9731183052062988,0,0,1920,1080
