id,area,bbox_x0,bbox_y0,bbox_w,bbox_h,point_input_x,point_input_y,predicted_iou,stability_score,crop_box_x0,crop_box_y0,crop_box_w,crop_box_h
0,105199,725,0,807,385,1075.0,70.3125,1.0289978981018066,0.9746726155281067,0,0,1600,900
1,229148,688,522,911,375,1225.0,689.0625,1.0246301889419556,0.9636439085006714,0,0,1600,900
2,43972,1485,0,114,511,1525.0,351.5625,1.0176857709884644,0.9882182478904724,0,0,1600,900
3,359425,96,0,1225,411,725.0,351.5625,1.0118955373764038,0.9402133822441101,0,0,1600,900
4,5272,0,471,35,180,25.0,492.1875,1.0099681615829468,0.9862368106842041,0,0,1600,900
5,26150,270,451,200,157,425.0,464.0625,1.009549856185913,0.9630851149559021,0,0,1600,900
6,8409,94,386,97,144,125.0,435.9375,1.0026259422302246,0.9874630570411682,0,0,1600,900
7,53209,827,428,772,313,1225.0,576.5625,1.0025275945663452,0.9764712452888489,0,0,1600,900
8,9004,642,562,43,337,675.0,576.5625,1.0017154216766357,0.9862289428710938,0,0,1600,900
9,35095,1177,191,170,386,1275.0,464.0625,0.9996803998947144,0.9892077445983887,0,0,1600,900
10,30158,40,568,531,330,75.0,885.9375,0.9942848086357117,0.9760867357254028,0,0,1600,900
11,15770,54,206,137,227,75.0,323.4375,0.9927647113800049,0.9619835615158081,0,0,1600,900
12,16816,469,414,128,142,575.0,520.3125,0.9892833232879639,0.9783567786216736,0,0,1600,900
13,104997,0,0,247,879,75.0,632.8125,0.9890313148498535,0.932852566242218,0,0,1600,900
14,2527,1032,102,119,39,1075.0,126.5625,0.9882879853248596,0.9929022192955017,0,0,1600,900
15,9111,90,667,68,175,125.0,689.0625,0.9865774512290955,0.977739155292511,0,0,1600,900
16,4198,896,342,104,53,975.0,379.6875,0.9855758547782898,0.9732080101966858,0,0,1600,900
17,2504,533,372,81,35,575.0,379.6875,0.9821649193763733,0.9904686212539673,0,0,1600,900
18,2787,496,0,209,28,625.0,14.0625,0.9796571731567383,0.9871657490730286,0,0,1600,900
19,9653,0,643,90,133,75.0,689.0625,0.9787824749946594,0.9706664085388184,0,0,1600,900
20,65118,984,373,615,225,1075.0,464.0625,0.9781445860862732,0.9732118248939514,0,0,1600,900
21,1146,506,371,37,42,525.0,407.8125,0.9738525152206421,0.9861591458320618,0,0,1600,900
22,612,110,558,25,26,125.0,576.5625,0.9736608266830444,0.9934640526771545,0,0,1600,900
23,2662,1458,751,141,54,1525.0,773.4375,0.9725579619407654,0.9798732995986938,0,0,1600,900
24,24447,86,375,118,320,125.0,604.6875,0.9680262804031372,0.9605542421340942,0,0,1600,900
25,3879,1101,427,62,131,1125.0,492.1875,0.966315746307373,0.9747770428657532,0,0,1600,900
26,581,108,172,26,26,125.0,182.8125,0.9659913778305054,0.9744898080825806,0,0,1600,900
27,21109,748,290,274,106,925.0,323.4375,0.963630199432373,0.9711390137672424,0,0,1600,900
28,18827,0,643,152,235,25.0,689.0625,0.9629666805267334,0.980182945728302,0,0,1600,900
29,6497,1018,309,48,234,1025.0,464.0625,0.9628134965896606,0.9758211970329285,0,0,1600,900
30,1170,0,870,63,29,25.0,885.9375,0.9625913500785828,0.9863713979721069,0,0,1600,900
31,6506,1492,404,98,108,1575.0,464.0625,0.9620407223701477,0.974351167678833,0,0,1600,900
32,4640,144,0,53,200,175.0,154.6875,0.961172342300415,0.9799445271492004,0,0,1600,900
33,1811,0,83,43,66,25.0,98.4375,0.9600496292114258,0.9646162390708923,0,0,1600,900
34,1243,1162,131,158,37,1275.0,154.6875,0.9587242007255554,0.9840637445449829,0,0,1600,900
35,1306,914,376,44,38,925.0,407.8125,0.9573031663894653,0.9863013625144958,0,0,1600,900
36,772,66,556,16,53,75.0,576.5625,0.9568796157836914,0.9782886505126953,0,0,1600,900
37,2178,0,131,70,52,25.0,154.6875,0.9566942453384399,0.9809264540672302,0,0,1600,900
38,5249,1140,265,71,115,1175.0,267.1875,0.9565117359161377,0.9642121195793152,0,0,1600,900
39,20291,1501,0,98,261,1575.0,239.0625,0.9564909934997559,0.9722383618354797,0,0,1600,900
40,1036,1140,95,89,21,1175.0,98.4375,0.9553278684616089,0.9847036600112915,0,0,1600,900
41,1122,363,407,29,41,375.0,435.9375,0.9544344544410706,0.9884649515151978,0,0,1600,900
42,11373,143,0,89,428,175.0,154.6875,0.9528993368148804,0.9594734311103821,0,0,1600,900
43,4484,0,0,110,83,75.0,42.1875,0.95035320520401,0.9610588550567627,0,0,1600,900
44,1600,223,437,32,55,225.0,464.0625,0.9471171498298645,0.9814241528511047,0,0,1600,900
45,464,63,0,32,24,75.0,14.0625,0.9468037486076355,0.978723406791687,0,0,1600,900
46,2682,281,406,74,38,325.0,435.9375,0.9467086791992188,0.9844271540641785,0,0,1600,900
47,1481,208,594,84,39,275.0,604.6875,0.9466933012008667,0.9701195359230042,0,0,1600,900
48,2939,764,360,58,67,775.0,407.8125,0.9464028477668762,0.9785090684890747,0,0,1600,900
49,442,925,481,14,42,925.0,492.1875,0.9460783004760742,0.9799107313156128,0,0,1600,900
50,22431,0,0,112,310,75.0,182.8125,0.944147527217865,0.9340968132019043,0,0,1600,900
51,1564,249,360,60,30,275.0,379.6875,0.9398362636566162,0.9803921580314636,0,0,1600,900
52,1178,166,655,48,68,175.0,717.1875,0.9394776821136475,0.9691666960716248,0,0,1600,900
53,1481,715,419,30,54,725.0,464.0625,0.9366526007652283,0.9759197235107422,0,0,1600,900
54,4728,225,346,154,60,375.0,379.6875,0.9361442923545837,0.9663830399513245,0,0,1600,900
55,46905,0,0,112,650,75.0,126.5625,0.9337167739868164,0.9595171809196472,0,0,1600,900
56,1423,1140,265,72,23,1175.0,267.1875,0.9337029457092285,0.9778239727020264,0,0,1600,900
57,7569,1048,536,551,81,1575.0,604.6875,0.9329759478569031,0.9541165828704834,0,0,1600,900
58,1650,690,541,163,12,825.0,548.4375,0.9325155019760132,0.974328339099884,0,0,1600,900
59,277,568,193,9,29,575.0,210.9375,0.9324376583099365,0.9892473220825195,0,0,1600,900
60,857,615,376,30,34,625.0,379.6875,0.9321100115776062,0.9712643623352051,0,0,1600,900
61,15856,1485,202,114,220,1525.0,323.4375,0.9317640662193298,0.9033907651901245,0,0,1600,900
62,709,871,383,26,33,875.0,407.8125,0.9317286610603333,0.976323127746582,0,0,1600,900
63,3897,83,622,89,86,125.0,660.9375,0.9306754469871521,0.9627110362052917,0,0,1600,900
64,1679,0,361,34,49,25.0,379.6875,0.9304578900337219,0.9816350936889648,0,0,1600,900
65,3766,1063,371,117,50,1125.0,379.6875,0.9293503761291504,0.9276584982872009,0,0,1600,900
66,1290,667,362,40,45,675.0,379.6875,0.9292728304862976,0.972434937953949,0,0,1600,900
67,365,459,205,32,12,475.0,210.9375,0.9283645749092102,0.97826087474823,0,0,1600,900
68,236,1162,716,28,9,1175.0,717.1875,0.9264419078826904,0.9873949289321899,0,0,1600,900
69,2004,419,284,89,29,425.0,295.3125,0.9256520867347717,0.9694882035255432,0,0,1600,900
70,1263,1099,204,221,38,1175.0,210.9375,0.923905611038208,0.9710031151771545,0,0,1600,900
71,1789,414,474,38,48,425.0,492.1875,0.922372043132782,0.9779977798461914,0,0,1600,900
72,1356,1032,184,56,32,1025.0,182.8125,0.921870231628418,0.9659173488616943,0,0,1600,900
73,2468,416,355,56,59,425.0,407.8125,0.9214752316474915,0.9744715094566345,0,0,1600,900
74,1122,51,308,47,36,75.0,323.4375,0.9198518395423889,0.9512194991111755,0,0,1600,900
75,7858,0,751,92,128,75.0,829.6875,0.9174180626869202,0.9109464287757874,0,0,1600,900
76,424,1265,776,40,13,1275.0,773.4375,0.9157025814056396,0.9837209582328796,0,0,1600,900
77,1392,281,455,68,23,325.0,464.0625,0.9144495129585266,0.970901370048523,0,0,1600,900
78,2640,887,405,45,114,925.0,435.9375,0.9122025966644287,0.9634873270988464,0,0,1600,900
79,300,873,234,24,13,875.0,239.0625,0.9121798276901245,0.9833887219429016,0,0,1600,900
80,68234,1262,3,270,382,1475.0,154.6875,0.9112261533737183,0.9177021384239197,0,0,1600,900
81,1634,668,362,38,111,675.0,379.6875,0.9085855484008789,0.9679371118545532,0,0,1600,900
